,train_loss,train_acc,val_loss,val_acc,total_params,total_flops,filters_in_features.0,filters_in_features.3,filters_in_features.7,filters_in_features.10,filters_in_features.14,filters_in_features.17,filters_in_features.20,filters_in_features.24,filters_in_features.27,filters_in_features.30,filters_in_features.34,filters_in_features.37,filters_in_features.40,Total_Filters
0,0.000443709172308445,94,0.000443709172308445,94,33646666,340366196736,64,64,128,128,256,256,256,512,512,512,512,512,512,4224
1,0.000132420986369252,97.73,0.000454122780263424,93.02,29935362,265093316608,56,56,112,112,224,224,224,448,448,448,448,448,448,3696
2,0.000103191083483398,98.332,0.000492953726649284,92.96,26683706,199786102784,48,48,96,96,192,192,192,384,384,384,384,384,384,3168
3,0.000114044697470963,98.056,0.0005088044911623,92.98,23891698,144444555264,40,40,80,80,160,160,160,320,320,320,320,320,320,2640
4,0.000149668419584632,97.398,0.000548310647904873,91.96,21559338,99068674048,32,32,64,64,128,128,128,256,256,256,256,256,256,2112
5,0.000262865579128265,95.404,0.000553954488039017,91.43,19686626,63658459136,24,24,48,48,96,96,96,192,192,192,192,192,192,1584
6,0.000512352485358715,91.036,0.000694027012586594,88.51,18273562,38213910528,16,16,32,32,64,64,64,128,128,128,128,128,128,1056
7,0.000313654897212982,94.498,0.00066612329185009,90.16,18273562,38213910528,16,16,32,32,64,64,64,128,128,128,128,128,128,1056
