,train_loss,train_acc,val_loss,val_acc,total_params,total_flops,filters_in_0,filters_in_2
0,0.011700247049331664,98.0,0.011700247049331664,98.0,431010,224512000,20,50
1,0.01151066545844078,98.85666666666667,0.011644787728786469,98.67,340885,158464000,15,40
2,0.011477427411079407,99.275,0.011635160171985626,98.83,253260,102656000,10,30
3,0.011664402796824774,96.865,0.011645926129817963,98.65,168135,57088000,5,20
4,0.011792071392138798,95.26,0.011676836788654327,98.28,86060,25651200,2,10
5,0.012134699070453643,90.87333333333333,0.011794342625141143,96.78,29710,9881600,2,3
6,0.011594736697276434,97.80333333333333,0.01173066304922104,97.56,29710,9881600,2,3
